0 90 500 500
274.048556591 249.287390822 1.1493335436 80 0.7853981633974483
129.830179869 72.3425881819 1.32975930115 50 0.7853981633974483
299.468855261 164.729523304 0.527840001941 50 0.7853981633974483
301.753101875 402.144741837 3.47815611053 50 0.7853981633974483
133.127078089 307.253641598 1.21641145126 80 0.7853981633974483
313.066825582 345.443821341 2.0410724698 80 0.7853981633974483
284.317659581 300.43048197 5.6737557794 80 0.7853981633974483
243.968976846 147.178804627 4.99490036025 80 0.7853981633974483
241.707829701 351.953952099 0.866453023023 80 0.7853981633974483
189.093444 125.356456069 5.78046783219 50 0.7853981633974483
194.062958336 228.249396382 2.84473865163 80 0.7853981633974483
120.523055416 287.47882055 1.02372959302 80 0.7853981633974483
177.000990523 248.131617547 4.18473369229 80 0.7853981633974483
216.163062727 159.303742333 0.811661196743 50 0.7853981633974483
234.69077441 248.525003873 1.1114073832 80 0.7853981633974483
267.077140983 325.654435087 0.453641310209 80 0.7853981633974483
160.757913871 151.085293165 3.31934926613 50 0.7853981633974483
236.904391345 44.325743248 5.10474492562 80 0.7853981633974483
397.915032727 337.299468053 0.23542464176 50 0.7853981633974483
177.257054361 347.522773081 0.962899194575 80 0.7853981633974483
389.65037161 145.218690384 4.34561298038 50 0.7853981633974483
171.910718405 194.93946159 4.03524629988 80 0.7853981633974483
350.850781698 174.218358991 1.36319575912 50 0.7853981633974483
224.286609086 114.666430179 4.95798651628 80 0.7853981633974483
115.734290078 334.69764601 5.49284801141 80 0.7853981633974483
129.080205956 395.835774325 5.53757931635 80 0.7853981633974483
268.75789693 176.36323417 5.19404986557 80 0.7853981633974483
368.680446403 54.8539777769 4.03465226546 80 0.7853981633974483
412.933166422 168.810848544 4.95972499699 50 0.7853981633974483
181.484844702 368.88319045 5.32536294928 80 0.7853981633974483
312.037410737 269.678174759 6.06208432344 80 0.7853981633974483
228.580756596 226.846328316 1.66488376995 50 0.7853981633974483
273.909519389 246.904274995 1.93366045544 80 0.7853981633974483
327.124659497 251.640635052 5.44843292714 80 0.7853981633974483
271.664667805 410.95535108 5.81931106899 80 0.7853981633974483
335.43955147 137.496853272 1.63012357374 80 0.7853981633974483
413.124186595 480.684878989 5.23187057738 50 0.7853981633974483
-128.918990193 311.001569316 0.618755766196 50 0.7853981633974483
334.613156278 178.337167383 4.79299199611 50 0.7853981633974483
379.906365157 115.680065538 4.03369260047 80 0.7853981633974483
188.42440229 326.166778784 3.74962913354 50 0.7853981633974483
212.330771736 181.667603236 1.08013671072 50 0.7853981633974483
230.924760378 236.555563965 4.18712030766 50 0.7853981633974483
208.954018946 220.157438207 5.70374696478 80 0.7853981633974483
116.266661923 188.657548617 2.98159330096 50 0.7853981633974483
121.920527679 75.4955021389 0.732915434127 50 0.7853981633974483
229.913865664 171.500485558 5.27854890293 50 0.7853981633974483
177.635366624 212.985055528 4.8571823346 80 0.7853981633974483
22.4122248478 136.594570646 1.79528422928 80 0.7853981633974483
423.909380332 171.015563014 2.53687395306 80 0.7853981633974483
178.288752563 207.552578369 4.13590874031 80 0.7853981633974483
215.254030737 235.68708768 0.399724579438 80 0.7853981633974483
397.961724145 257.63146603 3.70474183102 80 0.7853981633974483
231.66521874 188.568020954 0.806548425772 80 0.7853981633974483
297.907568068 276.351485205 5.72383032137 50 0.7853981633974483
256.667485227 418.64001244 5.84969322739 50 0.7853981633974483
257.776703685 44.8421400511 3.11389141366 50 0.7853981633974483
221.28052638 405.205640011 1.64418035773 80 0.7853981633974483
253.596798023 395.266706022 3.94401101845 50 0.7853981633974483
254.86436757 186.609605566 2.02335188396 80 0.7853981633974483
22.1304540125 294.446750227 1.49681705433 50 0.7853981633974483
209.156414246 202.066237166 4.24459400603 80 0.7853981633974483
192.160222444 161.651524614 1.92114337146 80 0.7853981633974483
231.411158023 310.118337107 2.41821812218 80 0.7853981633974483
160.728943114 249.502257829 4.69619922624 80 0.7853981633974483
243.962580541 165.763919007 0.0656917352272 80 0.7853981633974483
115.006563632 474.482433666 3.43101426332 50 0.7853981633974483
327.009102198 388.82763936 4.49407330381 50 0.7853981633974483
258.354342453 278.10124199 3.79767984382 80 0.7853981633974483
306.21159039 -2.94594079341 1.8005730155 80 0.7853981633974483
163.416497801 451.904227156 5.62840326862 80 0.7853981633974483
290.865308648 369.763427216 1.49542556841 80 0.7853981633974483
452.159986513 238.272568232 4.20906543823 50 0.7853981633974483
109.750100277 322.438159387 2.05127259507 50 0.7853981633974483
160.570379932 235.752824708 3.10526467628 80 0.7853981633974483
117.764953792 398.480733747 0.273303893562 80 0.7853981633974483
246.03333518 301.547214857 6.01720278838 80 0.7853981633974483
171.800550677 427.527056342 0.961243309596 50 0.7853981633974483
337.862611096 -21.2462680497 1.20951716668 50 0.7853981633974483
191.033509866 240.560928598 5.43094985226 80 0.7853981633974483
261.813578468 330.608322764 5.22146101646 50 0.7853981633974483
351.97803126 146.077651757 4.51719175598 50 0.7853981633974483
223.693255557 242.385437972 4.93067183135 50 0.7853981633974483
68.8933521329 118.452546612 2.13477951008 80 0.7853981633974483
318.783644539 99.7878611288 3.98621603634 50 0.7853981633974483
259.963799731 273.243585632 0.971196565316 80 0.7853981633974483
255.646733366 297.576920439 4.70148018683 80 0.7853981633974483
109.756402098 221.396096579 5.22944687343 80 0.7853981633974483
329.24035361 139.262183235 1.64332830749 80 0.7853981633974483
253.660102974 255.715207197 0.942368087408 50 0.7853981633974483
